epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4932,0.41504,1.22438,1.10254,0.91213,0.96352,0.96787,0.96561,0.21576,0.45614,0.35311,8.2672e-05,8.2672e-05,8.2672e-05
2,68.2908,0.41094,1.19183,1.10173,0.89963,0.97122,0.96507,0.96291,0.20394,0.45611,0.35961,0.000162718,0.000162718,0.000162718
3,101.982,0.43514,1.21588,1.11231,0.90535,0.95863,0.96445,0.95927,0.21785,0.45873,0.42001,0.000239465,0.000239465,0.000239465
4,135.642,0.42264,1.18484,1.10546,0.89987,0.9481,0.9596,0.95457,0.20653,0.47603,0.34218,0.00023515,0.00023515,0.00023515
5,169.372,0.42729,1.17748,1.11216,0.91465,0.95048,0.96704,0.96308,0.21469,0.45666,0.35509,0.0002302,0.0002302,0.0002302
6,203.08,0.42685,1.19218,1.10733,0.87069,0.94363,0.96611,0.96026,0.20262,0.5015,0.33642,0.00022525,0.00022525,0.00022525
7,236.735,0.41877,1.17449,1.1103,0.91238,0.95148,0.96476,0.94666,0.28212,0.52443,0.43891,0.0002203,0.0002203,0.0002203
8,270.368,0.41413,1.12657,1.10114,0.92606,0.96692,0.97195,0.9678,0.2349,0.44812,0.34126,0.00021535,0.00021535,0.00021535
9,303.873,0.40331,1.09654,1.08596,0.90271,0.95374,0.96791,0.96001,0.21528,0.43922,0.37822,0.0002104,0.0002104,0.0002104
10,337.563,0.38298,1.07238,1.077,0.91097,0.94813,0.9714,0.96724,0.19791,0.45029,0.36565,0.00020545,0.00020545,0.00020545
11,371.224,0.37837,1.04936,1.07491,0.91748,0.95659,0.96697,0.96052,0.19697,0.4209,0.33169,0.0002005,0.0002005,0.0002005
12,404.899,0.36993,1.02633,1.06533,0.91948,0.95608,0.97228,0.9697,0.18676,0.3927,0.33467,0.00019555,0.00019555,0.00019555
13,439.446,0.37895,1.03156,1.07336,0.94044,0.95304,0.97629,0.96698,0.23499,0.42942,0.39499,0.0001906,0.0001906,0.0001906
14,475.677,0.37076,0.97854,1.0687,0.93463,0.95029,0.97633,0.97479,0.16447,0.35837,0.2944,0.00018565,0.00018565,0.00018565
15,511.634,0.36022,0.98628,1.05724,0.89337,0.97059,0.97461,0.95911,0.2348,0.45163,0.40214,0.0001807,0.0001807,0.0001807
16,547.739,0.36034,0.97557,1.05834,0.93439,0.95812,0.97831,0.97592,0.14867,0.3992,0.26927,0.00017575,0.00017575,0.00017575
17,584.154,0.35489,0.95608,1.05622,0.96388,0.95724,0.98389,0.9812,0.18128,0.35544,0.30186,0.0001708,0.0001708,0.0001708
18,620.395,0.35713,0.93762,1.05886,0.94574,0.96853,0.98088,0.97979,0.16718,0.34734,0.29275,0.00016585,0.00016585,0.00016585
19,655.734,0.36568,0.96865,1.06693,0.93523,0.96894,0.97735,0.97436,0.18147,0.34189,0.29705,0.0001609,0.0001609,0.0001609
20,690.183,0.35514,0.95486,1.05277,0.93934,0.97482,0.9849,0.98345,0.14688,0.34807,0.25176,0.00015595,0.00015595,0.00015595
21,724.544,0.35123,0.95378,1.05462,0.93292,0.96406,0.9851,0.98416,0.14573,0.3389,0.27156,0.000151,0.000151,0.000151
22,759.053,0.34279,0.91379,1.04947,0.9585,0.97223,0.98238,0.9816,0.15516,0.32155,0.25744,0.00014605,0.00014605,0.00014605
23,793.58,0.33519,0.89717,1.0416,0.96245,0.96635,0.98564,0.98485,0.13912,0.30614,0.23997,0.0001411,0.0001411,0.0001411
24,828.181,0.34188,0.9113,1.04458,0.94702,0.96659,0.98213,0.98171,0.15742,0.32791,0.25549,0.00013615,0.00013615,0.00013615
25,862.694,0.32884,0.88267,1.04257,0.96257,0.9655,0.9843,0.9839,0.14069,0.30778,0.24926,0.0001312,0.0001312,0.0001312
26,897.166,0.32352,0.87207,1.02959,0.96494,0.96601,0.98376,0.98244,0.13138,0.29124,0.24048,0.00012625,0.00012625,0.00012625
27,931.535,0.3275,0.86039,1.03346,0.96953,0.95369,0.9855,0.98481,0.1513,0.2884,0.25955,0.0001213,0.0001213,0.0001213
28,966.063,0.31623,0.85897,1.01866,0.97058,0.96114,0.98574,0.98574,0.13476,0.28863,0.24561,0.00011635,0.00011635,0.00011635
29,1000.79,0.31103,0.84191,1.0256,0.95691,0.97251,0.98352,0.9829,0.14498,0.30894,0.2643,0.0001114,0.0001114,0.0001114
30,1035.49,0.31386,0.85049,1.02589,0.96378,0.95826,0.98327,0.98231,0.13328,0.28734,0.24598,0.00010645,0.00010645,0.00010645
31,1069.89,0.30919,0.82999,1.02618,0.96471,0.96466,0.98893,0.9875,0.13614,0.27801,0.24379,0.0001015,0.0001015,0.0001015
32,1104.45,0.30898,0.81352,1.02797,0.96112,0.96932,0.98672,0.98592,0.12899,0.26765,0.23669,9.655e-05,9.655e-05,9.655e-05
33,1139.25,0.30802,0.80814,1.02223,0.95688,0.97038,0.98749,0.98687,0.12142,0.28044,0.21911,9.16e-05,9.16e-05,9.16e-05
34,1173.93,0.30076,0.80075,1.0191,0.94837,0.97906,0.98636,0.98523,0.11961,0.27902,0.21705,8.665e-05,8.665e-05,8.665e-05
35,1208.57,0.30019,0.78777,1.01863,0.96846,0.9733,0.98684,0.9864,0.12127,0.26159,0.23358,8.17e-05,8.17e-05,8.17e-05
36,1243.76,0.31044,0.79024,1.02518,0.96509,0.97502,0.98786,0.98786,0.14098,0.27861,0.24313,7.675e-05,7.675e-05,7.675e-05
37,1278.9,0.29292,0.774,1.01354,0.95256,0.98334,0.98794,0.9871,0.12109,0.26059,0.22796,7.18e-05,7.18e-05,7.18e-05
38,1313.66,0.29232,0.78084,1.0114,0.96473,0.97415,0.98612,0.98557,0.12055,0.25383,0.21547,6.685e-05,6.685e-05,6.685e-05
39,1348.5,0.28529,0.76463,1.01101,0.96741,0.97343,0.98912,0.98863,0.1293,0.25738,0.23283,6.19e-05,6.19e-05,6.19e-05
40,1383.33,0.2793,0.7476,1.00947,0.96989,0.97422,0.98964,0.98946,0.12048,0.24022,0.21351,5.695e-05,5.695e-05,5.695e-05
41,1426.01,0.14329,0.41707,0.94603,0.95669,0.983,0.9858,0.98561,0.10279,0.22803,0.18414,5.2e-05,5.2e-05,5.2e-05
42,1460.44,0.11886,0.361,0.92131,0.96893,0.97985,0.98816,0.98798,0.09312,0.20949,0.18439,4.705e-05,4.705e-05,4.705e-05
43,1494.78,0.10908,0.3299,0.92207,0.97575,0.97611,0.98943,0.98943,0.09581,0.20077,0.17742,4.21e-05,4.21e-05,4.21e-05
44,1529.4,0.10231,0.3153,0.92613,0.97161,0.97088,0.98906,0.98906,0.08219,0.19261,0.16545,3.715e-05,3.715e-05,3.715e-05
45,1563.74,0.09896,0.30052,0.92345,0.973,0.98011,0.9893,0.9893,0.08178,0.19379,0.1598,3.22e-05,3.22e-05,3.22e-05
46,1598.26,0.09812,0.28859,0.91978,0.97531,0.97713,0.98991,0.98973,0.0815,0.18351,0.16192,2.725e-05,2.725e-05,2.725e-05
47,1632.62,0.09461,0.2799,0.91366,0.98032,0.97489,0.9897,0.9897,0.08134,0.17371,0.15819,2.23e-05,2.23e-05,2.23e-05
48,1667.1,0.08975,0.26576,0.90949,0.97616,0.98184,0.99042,0.99042,0.0772,0.18409,0.15578,1.735e-05,1.735e-05,1.735e-05
49,1701.57,0.09019,0.27001,0.90369,0.98145,0.97604,0.99107,0.99107,0.07046,0.1646,0.14688,1.24e-05,1.24e-05,1.24e-05
50,1736.25,0.08575,0.26239,0.90491,0.98106,0.97507,0.99075,0.99075,0.07577,0.16652,0.14589,7.45e-06,7.45e-06,7.45e-06
